Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2015,2015,2015,2,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,83898708,,,0
S4,2015,2015,2015,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,4742589,,,0
S4,2015,2015,2015,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,3093545768,,,0
S4,2015,2015,2015,2,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,1305158,,,0
S4,2015,2015,2015,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,8274275,,,0
S4,2015,2015,2015,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,825608,,,0
S4,2015,2015,2015,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,1143438572,,,4
S4,2015,2015,2015,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,122172927,,,4
S4,2015,2015,2015,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,3967017,,,0
S4,2015,2015,2015,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,168578,,,0
S4,2015,2015,2015,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,514926711,,,0
S4,2015,2015,2015,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,20887621,,,0
S4,2015,2015,2015,2,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,1966765079,,,4
S4,2015,2015,2015,2,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,166897172,,,4
S4,2015,2015,2015,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,7045881254,,,0
S4,2015,2015,2015,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,1457400027,,,0
S4,2015,2015,2015,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,4415894806,,,4
S4,2015,2015,2015,2,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,8165554591,,,4
S4,2015,2015,2015,2,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,28746348,,,0
S4,2015,2015,2015,2,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,6997100,,,0
S4,2015,2015,2015,2,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,199616265,,,4
S4,2015,2015,2015,2,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,158567940,,,4
S4,2015,2015,2015,2,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,2505837553,,,0
S4,2015,2015,2015,2,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,23809872,,,0
S4,2015,2015,2015,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,95621347,,,0
S4,2015,2015,2015,2,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,3358659,,,0
S4,2015,2015,2015,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,5112405163,,,4
S4,2015,2015,2015,2,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,5536442994,,,4
S4,2015,2015,2015,2,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,4771290,,,0
S4,2015,2015,2015,2,0,2,Export,60,Bermuda,BMU,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,42757,,,0
S4,2015,2015,2015,2,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,829037172,,,4
S4,2015,2015,2015,2,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,69859471,,,0
S4,2015,2015,2015,2,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,206022471,,,0
S4,2015,2015,2015,2,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,53479058,,,0
S4,2015,2015,2015,2,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,235201811,,,4
S4,2015,2015,2015,2,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,29932817,,,4
S4,2015,2015,2015,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,4706001841,,,4
S4,2015,2015,2015,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,2932569500,,,4
S4,2015,2015,2015,2,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,29402112,,,0
S4,2015,2015,2015,2,0,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,3174277,,,0
S4,2015,2015,2015,2,0,1,Import,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,24227626,,,0
S4,2015,2015,2015,2,0,2,Export,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,3713186,,,0
S4,2015,2015,2015,2,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,55221666,,,0
S4,2015,2015,2015,2,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,17450169,,,0
S4,2015,2015,2015,2,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,1123641514,,,0
S4,2015,2015,2015,2,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,539901087,,,0
S4,2015,2015,2015,2,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,1060862259,,,4
S4,2015,2015,2015,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,,,741999,,,4
S4,2015,2015,2015,2,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,29697558,,,0
S4,2015,2015,2015,2,0,2,Export,108,Burundi,BDI,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,237021,,,0
S4,2015,2015,2015,2,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,833091500,,,0
S4,2015,2015,2015,2,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,726041300,,,0
S4,2015,2015,2015,2,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,486055746,,,0
S4,2015,2015,2015,2,0,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,19568138,,,0
S4,2015,2015,2015,2,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,178213812,,,0
S4,2015,2015,2015,2,0,2,Export,120,Cameroon,CMR,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,37441046,,,0
S4,2015,2015,2015,2,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,,,13071496190,,,0
S4,2015,2015,2015,2,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,,,6402080862,,,4
S4,2015,2015,2015,2,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,,,6837889,,,4
